,Unnamed: 0,text,names,Date,FG,3P,FGA,PTS,Result,EFG
24,24,I️ do this for YOU! Gameday #DCFamily https://t.co/N8mjElh1cJ,Bradley Beal,2017-11-05,16.0,4.0,26.0,38.0,W ,0.6923076923076923
25,25,Blessed to see another day!,Bradley Beal,2017-11-06,3.0,1.0,1.0,5.0,L,3.5
26,26,“The Zone” https://t.co/o05LuJXlhd,Bradley Beal,2017-11-07,8.0,3.0,20.0,23.0,L ,0.475
27,27,Blessed to see another day!,Bradley Beal,2017-11-07,8.0,3.0,20.0,23.0,L ,0.475
28,28,Thank you Veterans!!! 🙏🏽🇺🇸,Bradley Beal,2017-11-10,3.0,0.0,3.0,5.0,L,1.0
29,29,Love Yourz! 😝 https://t.co/5fG5WthcRi,Bradley Beal,2017-11-13,5.0,1.0,11.0,14.0,W ,0.5
30,30,Blessed to see another day!,Bradley Beal,2017-11-13,5.0,1.0,11.0,14.0,W ,0.5
31,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
32,32,Blessed to see another day !,Bradley Beal,2017-11-14,3.0,0.0,8.0,6.0,L,0.375
33,33,Great team win!!!,Bradley Beal,2017-11-14,3.0,0.0,9.0,7.0,L,0.3333333333333333
34,34,F O C U S  👀 https://t.co/NB1nSaaKFz,Bradley Beal,2017-11-15,6.0,1.0,19.0,26.0,W ,0.3421052631578947
35,35,Best in the East? We have some work to do. Thoughts on our start in my new blog. https://t.co/MMCEjeFXjv,Bradley Beal,2017-11-15,6.0,1.0,19.0,26.0,W ,0.3421052631578947
36,36,Prayers up! 🙏🏽 have a blessed day everyone!,Bradley Beal,2017-11-15,6.0,1.0,19.0,26.0,W ,0.3421052631578947
37,37,Blessed to see another day!,Bradley Beal,2017-11-16,3.0,1.0,6.0,5.0,W,0.5833333333333334
38,38,"ICYMI: My latest blog, on the first segment of the season, and why I know we can be much better: https://t.co/MMCEjeFXjv https://t.co/OQj5Pb7oGs",Bradley Beal,2017-11-17,9.0,5.0,22.0,26.0,L ,0.5227272727272727
39,39,"Blessed to see another day! Make today count. Time is short, live it, love it make memories with those around you! Have a great day! 🙏🏽",Bradley Beal,2017-11-17,9.0,5.0,22.0,26.0,L ,0.5227272727272727
40,40,“COMMON SENSE IS NOT THAT COMMON!” https://t.co/Z5m4raZ8wW,Bradley Beal,2017-11-18,3.0,0.0,7.0,5.0,W,0.4285714285714285
41,41,Blessed to see another day !,Bradley Beal,2017-11-18,3.0,0.0,2.0,0.0,W,1.5
42,42,To God be the glory. Blessed to see another day! Happy Sunday,Bradley Beal,2017-11-19,11.0,5.0,23.0,27.0,L ,0.5869565217391305
43,43,Muse https://t.co/42c090oi0q,Bradley Beal,2017-11-20,10.0,2.0,16.0,23.0,W ,0.6875
44,44,Gameday!!,Bradley Beal,2017-11-20,10.0,2.0,16.0,23.0,W ,0.6875
45,45,Blessed to see another day!,Bradley Beal,2017-11-21,3.0,0.0,7.0,5.0,L,0.4285714285714285
46,46,Always fun living out your dreams! #Thankful https://t.co/lC2MbGtC4q,Bradley Beal,2017-11-22,7.0,3.0,22.0,22.0,L ,0.3863636363636363
47,47,Happy Thanksgiving everyone! We all have a lot to be thankful for! Cherish your blessings and enjoy this day with loved ones! Oh and EAT UP!,Bradley Beal,2017-11-23,3.0,1.0,9.0,7.0,L,0.3888888888888889
48,48,Blessed to see another day!!!,Bradley Beal,2017-11-27,3.0,0.0,8.0,7.0,L,0.375
49,49,Just be consistent with the foul calls!,Bradley Beal,2017-11-27,3.0,0.0,8.0,3.0,L,0.375
50,50,!!!!! Gotta go up 20! https://t.co/4EyfSZTOfS,Bradley Beal,2017-11-27,3.0,0.0,6.0,5.0,L,0.5
51,51,Refs won that game for Duke! Wack foul calls to keep them in the game!,Bradley Beal,2017-11-27,3.0,1.0,7.0,7.0,L,0.5
52,52,Blessed to see another day!!,Bradley Beal,2017-11-28,2.0,0.0,11.0,8.0,W ,0.1818181818181818
53,53,Blessed to see another day!!,Bradley Beal,2017-12-04,4.0,0.0,15.0,11.0,L ,0.2666666666666666
54,54,"Don’t get too high, don’t get too low!",Bradley Beal,2017-12-05,21.0,5.0,37.0,51.0,W ,0.6351351351351351
55,55,Blessed to see another day!,Bradley Beal,2017-12-05,21.0,5.0,37.0,51.0,W ,0.6351351351351351
56,56,Beyond blessed! I definitely couldn’t  have done it without my guys! #51 https://t.co/HNmkPN4SIP,Bradley Beal,2017-12-06,3.0,0.0,5.0,3.0,L,0.6
57,57,Blessed to see another day!!!,Bradley Beal,2017-12-06,3.0,1.0,1.0,1.0,L,3.5
58,58,Drop it! https://t.co/ZrDaWKIj0Z,Bradley Beal,2017-12-07,13.0,1.0,22.0,34.0,W ,0.6136363636363636
59,59,"“If you want to boast, boast only about the Lord.” #morningword",Bradley Beal,2017-12-07,13.0,1.0,22.0,34.0,W ,0.6136363636363636
60,60,For all the @NBA2K fans!! We wanted to celebrate by giving out MyTEAM Moments Card #LockerCodes. Here it is! @Ronnie2K https://t.co/cWYbdHyW7g,Bradley Beal,2017-12-07,13.0,1.0,22.0,34.0,W ,0.6136363636363636
61,61,Blessed to see another day!!!,Bradley Beal,2017-12-07,13.0,1.0,22.0,34.0,W ,0.6136363636363636
62,62,Birthday s/o to my bro @kellyoubrejr  !! Y’all show ya love! https://t.co/SP0SqrEduK,Bradley Beal,2017-12-10,3.0,1.0,7.0,0.0,L,0.5
63,63,Don’t confuse me with all the hype! https://t.co/Aboh2xHhqm,Bradley Beal,2017-12-11,3.0,1.0,4.0,6.0,W,0.875
64,64,My young bull @iamtc5 !!!! Mad at the rim bro? Lol https://t.co/EMSQkjz0x1,Bradley Beal,2017-12-11,3.0,0.0,7.0,6.0,W,0.4285714285714285
65,65,Blessed to see another day!,Bradley Beal,2017-12-12,11.0,0.0,33.0,28.0,L ,0.3333333333333333
66,66,Blessed to see another day!,Bradley Beal,2017-12-13,6.0,3.0,14.0,18.0,W ,0.5357142857142857
67,67,Stay together! Either with us or against us! #Wiz,Bradley Beal,2017-12-13,6.0,3.0,14.0,18.0,W ,0.5357142857142857
68,68,Good to have my dawg @johnwall back !! #DCFamily https://t.co/IduVZZAgYk,Bradley Beal,2017-12-14,3.0,1.0,3.0,3.0,L,1.1666666666666667
69,69,Blessed to see another day!,Bradley Beal,2017-12-15,9.0,2.0,18.0,20.0,W ,0.5555555555555556
70,70,Welcome to the club my boy! https://t.co/IcXuV6anNV,Bradley Beal,2017-12-16,3.0,0.0,7.0,0.0,L,0.4285714285714285
71,71,"“I get dressed up like a mannequin, put on a fit and embarrass em’, it’s so embarrassing!” https://t.co/YlH7gbF4uO",Bradley Beal,2017-12-16,3.0,1.0,6.0,7.0,L,0.5833333333333334
72,72,Blessed to see another day!,Bradley Beal,2017-12-16,3.0,1.0,9.0,2.0,L,0.3888888888888889
73,73,Oh yeah it’s on Boss! https://t.co/cF1gjnOf1q,Bradley Beal,2017-12-17,10.0,4.0,27.0,27.0,L ,0.4444444444444444
74,74,Oh yeah!!! Hold that L https://t.co/39GtqM09df,Bradley Beal,2017-12-17,10.0,4.0,27.0,27.0,L ,0.4444444444444444
75,75,Blessed to see another day! Happy Sunday!,Bradley Beal,2017-12-17,10.0,4.0,27.0,27.0,L ,0.4444444444444444
76,76,Stay the course! #GAMEDAY https://t.co/EoWGi3IYGA,Bradley Beal,2017-12-19,9.0,5.0,19.0,26.0,W ,0.6052631578947368
77,77,Blessed to see another day!,Bradley Beal,2017-12-19,9.0,5.0,19.0,26.0,W ,0.6052631578947368
78,78,Blessed to see another day!,Bradley Beal,2017-12-19,9.0,5.0,19.0,26.0,W ,0.6052631578947368
79,79,8|24 LEGEND !!! Congrats @kobebryant https://t.co/MoLJMjOwCl,Bradley Beal,2017-12-19,9.0,5.0,19.0,26.0,W ,0.6052631578947368
80,80,Blessed to see another day!,Bradley Beal,2017-12-20,3.0,0.0,2.0,4.0,W,1.5
81,81,Aggressive! #Gameday https://t.co/w4pR5jbQvr,Bradley Beal,2017-12-22,2.0,0.0,15.0,4.0,L ,0.1333333333333333
82,82,STL my guy @williamhrkc will be having a skully and gloves giveaway today! Check out the flyer ! https://t.co/bHRrOx6i06,Bradley Beal,2017-12-22,2.0,0.0,15.0,4.0,L ,0.1333333333333333
83,83,Huncho Jack !!!!,Bradley Beal,2017-12-22,2.0,0.0,15.0,4.0,L ,0.1333333333333333
84,84,FACTS https://t.co/pcT3sa4PXj,Bradley Beal,2017-12-22,2.0,0.0,15.0,4.0,L ,0.1333333333333333
85,85,“I’m not wearing a sweater that says oops!” 😂😂 #NBAXmas https://t.co/VEqMAC27jh,Bradley Beal,2017-12-22,2.0,0.0,15.0,4.0,L ,0.1333333333333333
86,86,"Blessed to see another day! 
Merry Christmas!!",Bradley Beal,2017-12-25,10.0,0.0,25.0,25.0,W ,0.4
87,87,"Blessed to see another day! 
Merry Christmas!!",Bradley Beal,2017-12-25,10.0,0.0,25.0,25.0,W ,0.4
88,88,"This is crazy!!! For the first time of many to come, I played against my brother @jaytatum0 !! I… https://t.co/bacwtb3HXM",Bradley Beal,2017-12-26,3.0,0.0,4.0,3.0,W,0.75
89,89,"This is crazy!!! For the first time of many to come, I played against my brother @jaytatum0 !! I… https://t.co/bacwtb3HXM",Bradley Beal,2017-12-26,3.0,0.0,5.0,4.0,W,0.6
90,90,That’s my dawg fa sho!!! Happy Birthday to my big brother @GotDamnBB_68 ! Have a blessed one my… https://t.co/fBVu7Wasik,Bradley Beal,2017-12-27,7.0,2.0,19.0,20.0,L ,0.4210526315789473
91,91,Thank you @WashWizards fans for your support! 🙏 https://t.co/9tqyBbm48v,Bradley Beal,2017-12-29,9.0,3.0,17.0,21.0,W ,0.6176470588235294
92,92,Blessed to see another day!,Bradley Beal,2017-12-29,9.0,3.0,17.0,21.0,W ,0.6176470588235294
93,93,Oh yeahhhh?? https://t.co/tCQPP6bmn2,Bradley Beal,2017-12-30,3.0,0.0,4.0,6.0,L,0.75
94,94,Blessed to see another day!!,Bradley Beal,2017-12-31,16.0,7.0,29.0,39.0,W ,0.6724137931034483
95,95,Blessed to see another day!,Bradley Beal,2018-01-02,3.0,1.0,4.0,6.0,W,0.875
96,96,Happy Birthday Pops! Love you OG! Have a blessed one! #50somethin lol https://t.co/rRMmcc31WX,Bradley Beal,2018-01-03,11.0,2.0,14.0,27.0,W ,0.8571428571428571
97,97,Blessed to see another day!!!,Bradley Beal,2018-01-03,11.0,2.0,14.0,27.0,W ,0.8571428571428571
98,98,Blessed to see another day!!!,Bradley Beal,2018-01-03,11.0,2.0,14.0,27.0,W ,0.8571428571428571
99,99,Blessed to see another day!!,Bradley Beal,2018-01-04,3.0,0.0,7.0,0.0,W,0.4285714285714285
100,100,Blue Magic https://t.co/4GpCe2rotV,Bradley Beal,2018-01-05,9.0,5.0,18.0,34.0,W ,0.6388888888888888
101,101,"Means a lot to have the support of Murray, Ralph and all the pandas in the world behind me for #NBAVote! https://t.co/j92ezM6zR6 #PandaPower for Bradley Beal! 😂🐼💪 https://t.co/GCDGednnXd",Bradley Beal,2018-01-05,9.0,5.0,18.0,34.0,W ,0.6388888888888888
102,102,Blessed to see another day!!,Bradley Beal,2018-01-05,9.0,5.0,18.0,34.0,W ,0.6388888888888888
103,103,Control what you can control!,Bradley Beal,2018-01-05,9.0,5.0,18.0,34.0,W ,0.6388888888888888
104,104,Blessed to see another day!!,Bradley Beal,2018-01-05,9.0,5.0,18.0,34.0,W ,0.6388888888888888
105,105,"“Shakin these demons off, dippin my dreams in sauce!” #bluemagic https://t.co/vnBivm1A3q",Bradley Beal,2018-01-06,7.0,1.0,19.0,20.0,L ,0.3947368421052631
106,106,Blessed to see another day!,Bradley Beal,2018-01-06,7.0,1.0,19.0,20.0,L ,0.3947368421052631
107,107,Must see movie !! Check out “The Commuter” https://t.co/jCEnUDzjlJ,Bradley Beal,2018-01-07,3.0,1.0,6.0,7.0,W,0.5833333333333334
108,108,Blessed to see another day!!,Bradley Beal,2018-01-07,3.0,0.0,1.0,1.0,W,3.0
109,109,Blessed to see another day!!,Bradley Beal,2018-01-08,3.0,0.0,3.0,0.0,L,1.0
110,110,Blessed to see another day!!,Bradley Beal,2018-01-08,3.0,1.0,6.0,4.0,L,0.5833333333333334
111,111,Blessed to see another day!,Bradley Beal,2018-01-09,3.0,0.0,7.0,0.0,L,0.4285714285714285
112,112,Blessed to see another day!,Bradley Beal,2018-01-09,3.0,0.0,3.0,7.0,L,1.0
113,113,Blessed to see another day!!!,Bradley Beal,2018-01-10,9.0,1.0,19.0,23.0,L ,0.5
114,114,It’s a brotherhood. We stay together! #GAMEDAY https://t.co/V694BGpNKd,Bradley Beal,2018-01-12,12.0,0.0,17.0,30.0,W ,0.7058823529411765
115,115,Blessed to see another day!!,Bradley Beal,2018-01-12,12.0,0.0,17.0,30.0,W ,0.7058823529411765
116,116,Blessed to see another day!!!,Bradley Beal,2018-01-13,10.0,4.0,23.0,24.0,W ,0.5217391304347826
117,117,"“The ultimate measure of a man is not where he stands in moments of comfort and convenience, but where he stands at times of challenge and controversy.” #ThankYouDrKing #MLKDay https://t.co/76VCHr9dhq",Bradley Beal,2018-01-15,8.0,1.0,17.0,19.0,L ,0.5
118,118,I know my boy @KELLYOUBREJR over there HURT!!!,Bradley Beal,2018-01-15,8.0,1.0,17.0,19.0,L ,0.5
119,119,Point shaving !!! 😂 https://t.co/QSiio906Wy,Bradley Beal,2018-01-15,8.0,1.0,17.0,19.0,L ,0.5
120,120,Luke Skywalkin’ on these haters! https://t.co/7RkpnE7T8r,Bradley Beal,2018-01-16,3.0,0.0,2.0,1.0,L,1.5
121,121,Legend ! https://t.co/mR7CZ2ZW1x,Bradley Beal,2018-01-17,10.0,4.0,19.0,26.0,L ,0.631578947368421
122,122,Another day. Another blessing!,Bradley Beal,2018-01-18,3.0,1.0,8.0,1.0,W,0.4375
123,123,I love this game! #GAMEDAY https://t.co/TMB4TenyKj,Bradley Beal,2018-01-19,7.0,4.0,12.0,26.0,W ,0.75
124,124,I love this game! #GAMEDAY https://t.co/TMB4TenyKj,Bradley Beal,2018-01-19,7.0,4.0,12.0,26.0,W ,0.75
125,125,Thank you #GoGators ! https://t.co/pIEse3Ko7t,Bradley Beal,2018-01-24,3.0,1.0,4.0,4.0,W,0.875
126,126,Greatly appreciate that bro!! https://t.co/NZMDYy3S6U,Bradley Beal,2018-01-24,3.0,1.0,1.0,7.0,W,3.5
127,127,Words can’t explain! Beyond blessed and honored to get my first All-Star bid! Grateful for all the love and support! https://t.co/s689giRJd6,Bradley Beal,2018-01-24,3.0,0.0,5.0,5.0,W,0.6
128,128,Thanks bro! https://t.co/RRJs22F3nj,Bradley Beal,2018-01-24,3.0,0.0,9.0,4.0,W,0.3333333333333333
129,129,God is great!!!,Bradley Beal,2018-01-24,3.0,0.0,9.0,1.0,W,0.3333333333333333
130,130,Thank you babe!! Love you https://t.co/cCTXL1JlNn,Bradley Beal,2018-01-24,3.0,1.0,8.0,1.0,W,0.4375
131,131,Appreciate it bro!! https://t.co/e91pmQ4BhQ,Bradley Beal,2018-01-24,3.0,0.0,7.0,5.0,W,0.4285714285714285
132,132,GAMEDAY! #WeTheDistrict https://t.co/XzilVFQXWv,Bradley Beal,2018-01-30,8.0,2.0,19.0,21.0,W ,0.4736842105263157
133,133,My man! https://t.co/S5ETvGFqsX,Bradley Beal,2018-01-30,8.0,2.0,19.0,21.0,W ,0.4736842105263157
134,134,"Blessed and thankful to be a @NBA All-Star for the first time! New blog on getting the news, #PandaPower and what’s ahead for our @WashWizards. https://t.co/cZSo3KElmr",Bradley Beal,2018-02-01,9.0,3.0,20.0,27.0,W ,0.525
135,135,Lol thank you boss! https://t.co/O1XypXWSKD,Bradley Beal,2018-02-02,3.0,0.0,7.0,7.0,L,0.4285714285714285
136,136,That good Florida weather !!,Bradley Beal,2018-02-02,3.0,0.0,3.0,0.0,L,1.0
137,137,Y’all reaching!!!!,Bradley Beal,2018-02-02,3.0,1.0,5.0,4.0,L,0.7
138,138,My lil shawty!! https://t.co/cZnH8t56qI,Bradley Beal,2018-02-03,8.0,0.0,15.0,18.0,W ,0.5333333333333333
139,139,Blessed!!!,Bradley Beal,2018-02-03,8.0,0.0,15.0,18.0,W ,0.5333333333333333
140,140,“Hot topic like ya everyday clothes!” https://t.co/R6DVEKyA7f,Bradley Beal,2018-02-04,3.0,0.0,2.0,5.0,L,1.5
141,141,God’s plan!!! https://t.co/JZC7nRiqOS,Bradley Beal,2018-02-06,12.0,5.0,22.0,30.0,L ,0.6590909090909091
142,142,Blue Magic https://t.co/ziwwOFxoKT,Bradley Beal,2018-02-08,7.0,3.0,27.0,18.0,L ,0.3148148148148148
143,143,Blessed to see another day!,Bradley Beal,2018-02-08,7.0,3.0,27.0,18.0,L ,0.3148148148148148
144,144,Need @ScHoolboyQ to gone head and drop that heat!!,Bradley Beal,2018-02-09,3.0,1.0,5.0,6.0,W,0.7
145,145,Black Panther Album 🔥🔥🔥,Bradley Beal,2018-02-09,3.0,1.0,7.0,1.0,W,0.5
146,146,I put that one on my shoulders! I gotta be better! #NoExcuses,Bradley Beal,2018-02-09,3.0,1.0,8.0,1.0,W,0.4375
147,147,Another day. Another blessing !,Bradley Beal,2018-02-09,3.0,0.0,1.0,1.0,W,3.0
148,148,I put that one on my shoulders! I gotta be better! #NoExcuses,Bradley Beal,2018-02-09,3.0,0.0,5.0,0.0,W,0.6
149,149,Tieeeeeed boss !!,Bradley Beal,2018-02-10,3.0,0.0,13.0,7.0,W ,0.2307692307692307
150,150,All day every day! https://t.co/YQcXEzYzPa,Bradley Beal,2018-02-10,3.0,0.0,13.0,7.0,W ,0.2307692307692307
151,151,#ad Ecstatic for #NBAAllStar and #StateFarmSaturday. Tune in on 2/17 at 5pm PT.,Bradley Beal,2018-02-11,3.0,1.0,5.0,2.0,L,0.7
152,152,Lol and I always been BIG BRUH! https://t.co/pEAdEGrfCi,Bradley Beal,2018-02-11,3.0,0.0,3.0,1.0,L,1.0
153,153,Without Warning! https://t.co/mow98gBnxj,Bradley Beal,2018-02-12,3.0,1.0,3.0,2.0,W,1.1666666666666667
154,154,Every day is a new day! Let’s get better! One at a time!!,Bradley Beal,2018-02-12,3.0,0.0,8.0,4.0,W,0.375
155,155,Blessed to see another day!,Bradley Beal,2018-02-12,3.0,0.0,2.0,2.0,W,1.5
156,156,Every day is a new day! Let’s get better! One at a time!!,Bradley Beal,2018-02-12,3.0,0.0,7.0,6.0,W,0.4285714285714285
157,157,Blessed to see another day!,Bradley Beal,2018-02-12,3.0,1.0,5.0,7.0,W,0.7
158,158,ALL MINE!!! Love is better when you’re having fun! Happy Valentine’s Day to my Queen! Beyond… https://t.co/wGBpnlWlWm,Bradley Beal,2018-02-14,14.0,4.0,22.0,36.0,W ,0.7272727272727273
159,159,Blessed to see another day!!,Bradley Beal,2018-02-14,14.0,4.0,22.0,36.0,W ,0.7272727272727273
160,160,#StateFarmSaturday is around the corner! What are you most excited for? #NBAAllStar #ad,Bradley Beal,2018-02-15,3.0,0.0,1.0,6.0,L,3.0
161,161,Yessir!!! https://t.co/ntwYc42g70,Bradley Beal,2018-02-15,3.0,0.0,2.0,5.0,L,1.5
162,162,It's time for All-Star weekend. I'll be with @Tissot tomorrow from 1-3pm at TNT Roadshow then #NBACrossover! #ThisIsYourTime,Bradley Beal,2018-02-16,3.0,0.0,1.0,0.0,W,3.0
163,163,LA! I'll be at @mountaindew's Courtside Studios this weekend! Come through to the corner of Pico and Figueroa tomorrow at 12pm to catch all the action! #DEWxNBA #NBAAllStar #MTNDEWKickstart https://t.co/fEaMsZ9T8e,Bradley Beal,2018-02-17,3.0,0.0,7.0,2.0,L,0.4285714285714285
164,164,It’s All-Star time with @tissot #ThisIsYourTime https://t.co/RdgTHDgn9s,Bradley Beal,2018-02-18,3.0,0.0,4.0,7.0,L,0.75
165,165,Definitely was a fun experience. Keep shootin’ B!!! Lol #jbl3pt #allstar https://t.co/Hdx41o0XJP,Bradley Beal,2018-02-18,3.0,0.0,6.0,1.0,L,0.5
166,166,You can’t miss this! Tune in now to TNT #StateFarmSaturday #ad,Bradley Beal,2018-02-18,3.0,1.0,3.0,4.0,L,1.1666666666666667
167,167,The crowd is buzzing for #StateFarmSaturday. Turn it on now!  Let’s do this LA! #ad,Bradley Beal,2018-02-18,3.0,0.0,5.0,4.0,L,0.6
168,168,That old high school bounce!! lol https://t.co/Uu29YKEeS7,Bradley Beal,2018-02-19,3.0,0.0,6.0,2.0,L,0.5
169,169,TOUGH!!! 🔥🔥🔥 almost that time!! https://t.co/dgQXW0jJE1,Bradley Beal,2018-02-19,3.0,0.0,4.0,3.0,L,0.75
170,170,What a night! Had a great time participating #NBAAllStar #StateFarmSaturday #ad,Bradley Beal,2018-02-19,3.0,0.0,6.0,3.0,L,0.5
171,171,What a night! Had a great time participating #NBAAllStar #StateFarmSaturday #ad,Bradley Beal,2018-02-19,3.0,0.0,3.0,1.0,L,1.0
172,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
173,173,Back on Road! https://t.co/W9dFOaDDLO,Bradley Beal,2018-02-21,3.0,0.0,1.0,7.0,W,3.0
174,174,Must see https://t.co/y1ai0xGlvt,Bradley Beal,2018-02-21,3.0,0.0,9.0,4.0,W,0.3333333333333333
175,175,Lit!!! Love it lol 😂😂 https://t.co/vjC0rKtlmS,Bradley Beal,2018-02-21,3.0,0.0,9.0,7.0,W,0.3333333333333333
176,176,“The District” #Gameday #3sUP https://t.co/XUr0Xv7pSr,Bradley Beal,2018-02-22,8.0,2.0,19.0,18.0,W ,0.4736842105263157
177,177,Another day. Another blessing!,Bradley Beal,2018-02-22,8.0,2.0,19.0,18.0,W ,0.4736842105263157
178,178,GAMEDAY! #theDistrict #protectthevault https://t.co/Kk1HrKtmvZ,Bradley Beal,2018-02-23,11.0,3.0,21.0,33.0,L ,0.5952380952380952
179,179,Blessed🙏🏽,Bradley Beal,2018-02-23,11.0,3.0,21.0,33.0,L ,0.5952380952380952
180,180,GAMEDAY! Need this one! Let’s go!,Bradley Beal,2018-02-25,9.0,3.0,14.0,24.0,W ,0.75
181,181,Blessings on blessings! 🙏🏽,Bradley Beal,2018-02-25,9.0,3.0,14.0,24.0,W ,0.75
182,182,😂😂 the MOTTO https://t.co/5zUSpjN6RB,Bradley Beal,2018-02-26,3.0,0.0,1.0,2.0,L,3.0
183,183,LEAD em my boy! https://t.co/sVJrqXEejA,Bradley Beal,2018-02-26,3.0,1.0,5.0,5.0,L,0.7
184,184,Blessed!! 🙏🏽,Bradley Beal,2018-02-26,3.0,0.0,7.0,7.0,L,0.4285714285714285
185,185,GAMEDAY!,Bradley Beal,2018-02-27,9.0,2.0,16.0,21.0,W ,0.625
186,186,GAMEDAY!,Bradley Beal,2018-02-27,9.0,2.0,16.0,21.0,W ,0.625
187,187,Hell yeah young bull!! https://t.co/lHe7ZeIzLq,Bradley Beal,2018-02-28,3.0,2.0,15.0,8.0,L ,0.2666666666666666
188,188,GAMEDAY in the Vault!,Bradley Beal,2018-02-28,3.0,2.0,15.0,8.0,L ,0.2666666666666666
189,189,Another day. Another blessing!,Bradley Beal,2018-02-28,3.0,2.0,15.0,8.0,L ,0.2666666666666666
190,190,March already! Year flying,Bradley Beal,2018-03-01,3.0,0.0,8.0,4.0,W,0.375
191,191,Blessed to see another day!,Bradley Beal,2018-03-01,3.0,0.0,7.0,6.0,W,0.4285714285714285
192,192,Happy birthday to my best friend @sayyslim !!! Turn up one time!! Have a blessed one! Show ya love!,Bradley Beal,2018-03-04,8.0,2.0,27.0,22.0,L ,0.3333333333333333
193,193,Birthday s/o to my brother @jaytatum0 !!! Have a blessed one my guy!! 🙏🏽 #dubclub,Bradley Beal,2018-03-04,8.0,2.0,27.0,22.0,L ,0.3333333333333333
194,194,GAMEDAY!,Bradley Beal,2018-03-06,12.0,6.0,16.0,30.0,W ,0.9375
195,195,GAMEDAY!,Bradley Beal,2018-03-06,12.0,6.0,16.0,30.0,W ,0.9375
196,196,That’s dope!!!! Welcome to my stomping grounds! https://t.co/wl0OjQY261,Bradley Beal,2018-03-09,6.0,2.0,14.0,16.0,W ,0.5
197,197,"STL all day, everyday, twice on Sunday’s lol !! Happy #314day",Bradley Beal,2018-03-14,14.0,3.0,27.0,34.0,W ,0.5740740740740741
